cell_label,brain_section_label,feature_matrix_label,donor_label,donor_genotype,donor_sex,cluster_alias,z,subclass_confidence_score,cluster_confidence_score,high_quality_transfer,neurotransmitter,class,subclass,supertype,cluster,neurotransmitter_color,class_color,subclass_color,supertype_color,cluster_color,n_counts
217839910921298000458466561717167939034,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1387,0.3,0.9999925595715724,0.9375856360073084,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0573 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#74995C,393.0
304919227985773297962865651174734952400,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1385,0.3,0.8713832713203056,0.5497771723486207,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0571 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#FF8873,622.0
10622381454533880050684261620790220794,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1386,0.3,0.9999839375177556,0.8030317523447709,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0572 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#1F4466,240.0
112310147483827479038972622131201270086,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1393,0.3,0.9999917414620572,0.5891138104733881,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0586 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#3DCC8E,224.0
152962832597432266580941818995106986756,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.999991234540665,0.9527199437772798,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,144.0
170903990210983880517071396205563790440,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2877,0.3,0.9999944061448246,0.7060331507389348,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0491 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#8800FF,389.0
203515573930305728552278682076737461767,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.9999919550575388,0.753986304277073,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,316.0
225164706715266855304623655539048180888,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999949055258608,0.9999949055258608,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,311.0
229796122407646178250411987894126532280,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1387,0.3,0.9999925830839144,0.9752550291890362,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0573 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#74995C,193.0
238766940556896875702085782799612011393,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1386,0.3,0.999981537805154,0.9472939776480532,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0572 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#1F4466,223.0
238812074030678082404639823817979916076,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1395,0.3,0.9999790145554897,0.5562068784435596,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0582 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#FF73B7,441.0
249356106458760266679436106773061652990,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5279,0.3,0.9694839485620214,0.5477862876979614,True,,34 Immune,337 DC NN,1197 DC NN_1,5318 DC NN_1,#666666,#825f45,#CCA27A,#FF999F,#3D5766,197.0
256327908269271476304949032946387371646,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.999981872466566,0.6892391904380653,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,74.0
303778608641684803967147330181143569624,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1385,0.3,0.9941690073564544,0.7153224124071035,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0571 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#FF8873,243.0
328121819592664514775287756569445997411,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1380,0.3,0.999991311074914,0.6147096090901014,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0159 OB-out Frmd7 Gaba_2,0576 OB-out Frmd7 Gaba_2,#FF3358,#1b4332,#CC6D3D,#4DFF68,#5C9ACC,255.0
333177742234520328304637183262221650538,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1379,0.3,0.999992475693424,0.7570024912845247,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0159 OB-out Frmd7 Gaba_2,0575 OB-out Frmd7 Gaba_2,#FF3358,#1b4332,#CC6D3D,#4DFF68,#8A7ACC,409.0
54798684041407518554352139824307139957,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1381,0.3,0.9999935352925312,0.9766846122965828,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0159 OB-out Frmd7 Gaba_2,0577 OB-out Frmd7 Gaba_2,#FF3358,#1b4332,#CC6D3D,#4DFF68,#99802E,335.0
64686968675117608671951437043395759834,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9945084494988266,0.9945084494988266,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,325.0
66729013768566544757749261261351086553,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999847869465258,0.7465333762331728,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,361.0
68019753148473777047035217541757915323,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1384,0.3,0.9786979384881463,0.6724560458803006,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0569 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#998317,198.0
6851319122331331779533383767868849935,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1393,0.3,0.999978471165494,0.5730426551835434,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0586 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#3DCC8E,169.0
98214367165345284285748865291077737427,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1379,0.3,0.9999931956965152,0.841020337981815,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0159 OB-out Frmd7 Gaba_2,0575 OB-out Frmd7 Gaba_2,#FF3358,#1b4332,#CC6D3D,#4DFF68,#8A7ACC,295.0
115624603080691755242805501663821168197,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1392,0.3,0.9264205055799322,0.5682881167370729,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0589 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#7ACC8C,96.0
11864727143021761792377968668128810375,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.9999933946896882,0.9155841274907714,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,361.0
118679468694052613293368369685626871839,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999874615281924,0.9999874615281924,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,192.0
153203408871865042601234966299033567930,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1384,0.3,0.8897482218536942,0.5929542860181244,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0569 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#998317,58.0
164053582573369267148694458419530176944,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1393,0.3,0.9999863243142044,0.5961592567275467,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0586 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#3DCC8E,294.0
170706475511158211474447250519095972893,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1387,0.3,0.9999878018242954,0.8779873759481449,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0573 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#74995C,235.0
240699871749842968396685658485074016022,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2875,0.3,0.9999927896748612,0.5404935568193827,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0489 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#2E4E99,528.0
267475219643018061715982551967501380749,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999858319688698,0.9999858319688698,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,262.0
267642788629779202084449059978396503575,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999780246875598,0.7717506677876158,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,42.0
315492084028176444680372883977260324435,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.9999907736327112,0.9728010040574094,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,456.0
108315622440022527317452211043174641756,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5255,0.3,0.9999739632313372,0.9901007695714512,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5311 Endo NN_1,#666666,#858881,#994567,#00992A,#CC3D76,270.0
194771772324952745335559919725029289759,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1387,0.3,0.999985410254987,0.869703345766251,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0573 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#74995C,316.0
275120161544636424299164207517234339836,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999882097468294,0.5015063073379188,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,208.0
277009628421835303249117466858638863335,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1374,0.3,0.9897003640897056,0.9897003640897056,True,GABA,05 OB-IMN GABA,043 OB-mi Frmd7 Gaba,0161 OB-mi Frmd7 Gaba_1,0579 OB-mi Frmd7 Gaba_1,#FF3358,#1b4332,#FF99A7,#715CCC,#3DCCC8,358.0
326412395202222381645841803766646219940,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5283,0.3,0.9999915755833282,0.9999915755833282,True,,34 Immune,334 Microglia NN,1194 Microglia NN_1,5312 Microglia NN_1,#666666,#825f45,#CC1F4E,#62CC3D,#651FCC,43.0
74312487237248542032486695907464998425,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5255,0.3,0.9999839351865256,0.6615523691005755,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5311 Endo NN_1,#666666,#858881,#994567,#00992A,#CC3D76,429.0
97147075295920068942217138269365588971,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.9468256287820356,0.5524551088799659,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,335.0
10497123405737031944799065028462108559,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1397,0.3,0.9999919877499852,0.7771880353960334,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0584 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#991759,395.0
127843414453654174858182975490035066085,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999748048432238,0.5968589909949418,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,292.0
129950766939997997348383783567388325544,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999859627535734,0.9999859627535734,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,315.0
129977336689429343212536675544131086457,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5255,0.3,0.9999897186507422,0.5360004053610662,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5311 Endo NN_1,#666666,#858881,#994567,#00992A,#CC3D76,364.0
156764578882839125366347289286941002814,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1374,0.3,0.9999945974777418,0.9999945974777418,True,GABA,05 OB-IMN GABA,043 OB-mi Frmd7 Gaba,0161 OB-mi Frmd7 Gaba_1,0579 OB-mi Frmd7 Gaba_1,#FF3358,#1b4332,#FF99A7,#715CCC,#3DCCC8,518.0
165775552804691248392177288562008523721,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5255,0.3,0.9999660365404184,0.882476767659077,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5311 Endo NN_1,#666666,#858881,#994567,#00992A,#CC3D76,174.0
170423544398868616239905527475411160120,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.9999871877854404,0.5086028017921094,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,167.0
17500035806745068958349428430966638663,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2877,0.3,0.9999888883075416,0.7514187133870114,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0491 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#8800FF,561.0
178206787360719729675842135809335156395,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1393,0.3,0.9999888485584354,0.5442464015889741,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0586 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#3DCC8E,355.0
207758326677325658456425900396470780484,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2876,0.3,0.9999907855815676,0.9797056192768688,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0490 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#EBFF99,257.0
213927709940015261729973494931062446404,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2875,0.3,0.9999848188299142,0.5202046800208602,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0489 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#2E4E99,597.0
214137060147321957612176971155551802431,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2873,0.3,0.9999940952666204,0.9999940952666204,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0133 OB Eomes Ms4a15 Glut_4,0494 OB Eomes Ms4a15 Glut_4,#2B93DF,#D00000,#7F1FCC,#7ACCA8,#006635,782.0
214950788478125667590427042812616795413,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2877,0.3,0.9999885143182968,0.805592486363096,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0491 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#8800FF,371.0
219022167654807135280271851589394775944,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1391,0.3,0.999992589900609,0.996707526741682,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0587 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#CC3DB6,268.0
233287955178072539658115396882956644758,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.9937554146596956,0.6937249916530154,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,360.0
263130859717959214433326675155126081906,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.948563574506808,0.5737924303226315,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,278.0
281084121688959495133424327667788770643,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1387,0.3,0.9999852192335194,0.5732812853850633,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0573 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#74995C,405.0
286667872121729613864289865216569207135,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1318,0.3,0.9999829836887864,0.5098226353517854,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0151 OB-in Frmd7 Gaba_2,0543 OB-in Frmd7 Gaba_2,#FF3358,#1b4332,#FF0073,#00664C,#4F9945,417.0
310594930851263333147189956563290294254,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2876,0.3,0.9999877878841122,0.6274767015382954,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0490 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#EBFF99,120.0
85919510355622793983301321765127245596,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.9820914742762132,0.5327566909730753,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,335.0
101144803741506674458950949374533191446,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999892300286716,0.9999892300286716,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,301.0
101420090814814863258239993111312591606,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1289,0.3,0.9774772697591808,0.7926481771722366,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0520 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#8DCC1F,147.0
107018103786979617473444631342468526056,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1290,0.3,0.9995928752903882,0.8800970416652653,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0519 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#4DFFF1,274.0
108040273628342850775468509993228847,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2876,0.3,0.999985291737381,0.999985291737381,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0490 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#EBFF99,210.0
10819192480292303131054945094756918487,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1380,0.3,0.9999930644173451,0.7911478114509379,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0159 OB-out Frmd7 Gaba_2,0576 OB-out Frmd7 Gaba_2,#FF3358,#1b4332,#CC6D3D,#4DFF68,#5C9ACC,190.0
109980061019322166173832118096109649684,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999864142972276,0.9999864142972276,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,321.0
115202507885679403200678233566083625086,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1396,0.3,0.999975933846862,0.5657318471409749,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0583 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#CC673D,261.0
116870234328006511503701935497512829756,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.9999916795407104,0.5634676024552628,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,231.0
116909780328510540418016323703753755583,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1386,0.3,0.8116709343289353,0.5988662886578119,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0572 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#1F4466,121.0
116962138542850666396396820627637462850,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.8915224708754559,0.5493767057579777,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,104.0
118694866430492163306341589619909299427,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1383,0.3,0.9999791333782349,0.6348478274150295,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0568 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#992E7C,234.0
123469199700992756186327016243895324973,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1288,0.3,0.9999924275130186,0.9999924275130186,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0146 OB Meis2 Thsd7b Gaba_4,0526 OB Meis2 Thsd7b Gaba_4,#FF3358,#1b4332,#FF99F7,#664A3D,#3D6166,259.0
127825225824016755700119092204135329782,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1374,0.3,0.9985882798308366,0.9985882798308366,True,GABA,05 OB-IMN GABA,043 OB-mi Frmd7 Gaba,0161 OB-mi Frmd7 Gaba_1,0579 OB-mi Frmd7 Gaba_1,#FF3358,#1b4332,#FF99A7,#715CCC,#3DCCC8,743.0
